Data;NrParagonu;scalone
2019-02-01;PA 7/S08/01/2019;2_KOBIETA :  T-SHIRT
2019-02-01;PA 7/S08/01/2019;2_KOBIETA :  SPODNIE
2019-02-01;PA 7/S08/01/2019;5_AKCESORIA :  CZAPKA
2019-02-01;PA 8/S08/01/2019;1_M石CZYZNA :  T-SHIRT
2019-02-01;PA 8/S08/01/2019;1_M石CZYZNA :  T-SHIRT
2019-02-01;PA 8/S08/01/2019;5_AKCESORIA :  AKCESORIA ZIMOWE
2019-02-01;PA 10/S09/01/2019;1_M石CZYZNA :  SPODNIE
2019-02-01;PA 10/S09/01/2019;6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)
2019-02-01;PA 17/S09/01/2019;2_KOBIETA :  SPODNIE
2019-02-01;PA 17/S09/01/2019;6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)
2019-02-01;PA 17/S09/01/2019;6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)
2019-02-01;PA 18/S09/01/2019;5_AKCESORIA :  PIA
2019-02-01;PA 18/S09/01/2019;5_AKCESORIA :  PIA
2019-02-01;PA 2/S09/01/2019;5_AKCESORIA :  AKCESORIA ZIMOWE
2019-02-01;PA 2/S09/01/2019;6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)
2019-02-01;PA 2/S09/01/2019;5_AKCESORIA :  AKCESORIA ZIMOWE
2019-02-01;PA 20/S09/01/2019;2_KOBIETA :  TIGHT
2019-02-01;PA 20/S09/01/2019;2_KOBIETA :  TIGHT
2019-02-01;PA 3/S09/01/2019;1_M石CZYZNA :  SPODNIE
2019-02-01;PA 3/S09/01/2019;1_M石CZYZNA :  SPODNIE
2019-02-01;PA 3/S09/01/2019;1_M石CZYZNA :  T-SHIRT
2019-02-01;PA 4/S09/01/2019;1_M石CZYZNA :  T-SHIRT
2019-02-01;PA 4/S09/01/2019;1_M石CZYZNA :  T-SHIRT
2019-02-01;PA 4/S09/01/2019;6_BIELIZNA :  STOPKI
2019-02-01;PA 4/S09/01/2019;6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)
2019-02-01;PA 4/S09/01/2019;6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)
2019-02-01;PA 4/S09/01/2019;5_AKCESORIA :  AKCESORIA ZIMOWE
2019-02-01;PA 7/S09/01/2019;3_CHPAK :  T-SHIRT
2019-02-01;PA 7/S09/01/2019;6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)
2019-02-01;PA 7/S09/01/2019;6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)
2019-02-01;PA 7/S09/01/2019;3_CHPAK :  BUTY LIFESTYLE_TRAMPEK MID
2019-02-01;PA 7/S09/01/2019;1_M石CZYZNA :  BUTY LIFESTYLE_SPORT MID
2019-02-01;PA 1/S10/01/2019;5_AKCESORIA :  AKCESORIA ZIMOWE
2019-02-01;PA 1/S10/01/2019;1_M石CZYZNA :  T-SHIRT
2019-02-01;PA 14/S10/01/2019;1_M石CZYZNA :  LONG SLEEVE
2019-02-01;PA 14/S10/01/2019;1_M石CZYZNA :  BUTY LIFESTYLE_SPORT S/P LOW
2019-02-01;PA 15/S10/01/2019;6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)
2019-02-01;PA 15/S10/01/2019;6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)
2019-02-01;PA 15/S10/01/2019;1_M石CZYZNA :  BUTY PIARSKIE&HAL覹KI
2019-02-01;PA 16/S10/01/2019;6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)
2019-02-01;PA 16/S10/01/2019;6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)
2019-02-01;PA 18/S10/01/2019;2_KOBIETA :  T-SHIRT
2019-02-01;PA 18/S10/01/2019;1_M石CZYZNA :  LONG SLEEVE
2019-02-01;PA 2/S10/01/2019;1_M石CZYZNA :  SPODNIE
2019-02-01;PA 2/S10/01/2019;1_M石CZYZNA :  T-SHIRT
2019-02-01;PA 2/S10/01/2019;1_M石CZYZNA :  T-SHIRT
2019-02-01;PA 2/S10/01/2019;1_M石CZYZNA :  T-SHIRT
2019-02-01;PA 2/S10/01/2019;1_M石CZYZNA :  T-SHIRT
2019-02-01;PA 2/S10/01/2019;6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)
2019-02-01;PA 20/S10/01/2019;2_KOBIETA :  TIGHT
2019-02-01;PA 20/S10/01/2019;5_AKCESORIA :  TORBA
2019-02-01;PA 23/S10/01/2019;2_KOBIETA :  BUTY LIFESTYLE_SPORT POZ LOW
2019-02-01;PA 23/S10/01/2019;5_AKCESORIA :  AKCESORIA OBUWNICZE
2019-02-01;PA 25/S10/01/2019;1_M石CZYZNA :  T-SHIRT
2019-02-01;PA 25/S10/01/2019;1_M石CZYZNA :  T-SHIRT
2019-02-01;PA 25/S10/01/2019;1_M石CZYZNA :  T-SHIRT
2019-02-01;PA 25/S10/01/2019;6_BIELIZNA :  KIEL覹KI
2019-02-01;PA 25/S10/01/2019;6_BIELIZNA :  KIEL覹KI
2019-02-01;PA 26/S10/01/2019;1_M石CZYZNA :  T-SHIRT
2019-02-01;PA 26/S10/01/2019;1_M石CZYZNA :  T-SHIRT
2019-02-01;PA 4/S10/01/2019;1_M石CZYZNA :  T-SHIRT
2019-02-01;PA 4/S10/01/2019;1_M石CZYZNA :  KURTKA
2019-02-01;PA 4/S10/01/2019;5_AKCESORIA :  AKCESORIA ZIMOWE
2019-02-01;PA 5/S10/01/2019;6_BIELIZNA :  MAJTKI
2019-02-01;PA 5/S10/01/2019;6_BIELIZNA :  MAJTKI
2019-02-01;PA 5/S10/01/2019;1_M石CZYZNA :  T-SHIRT
2019-02-01;PA 5/S10/01/2019;6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)
2019-02-01;PA 5/S10/01/2019;6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)
2019-02-01;PA 5/S10/01/2019;6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)
2019-02-01;PA 5/S10/01/2019;1_M石CZYZNA :  BUTY LIFESTYLE_SPORT POZ LOW
2019-02-01;PA 6/S10/01/2019;6_BIELIZNA :  SKARPETY DGIE
2019-02-01;PA 6/S10/01/2019;3_CHPAK :  BUTY_ZIMA
2019-02-01;PA 7/S10/01/2019;1_M石CZYZNA :  T-SHIRT
2019-02-01;PA 7/S10/01/2019;1_M石CZYZNA :  KLAPKI
2019-02-01;PA 8/S10/01/2019;1_M石CZYZNA :  BLUZA
2019-02-01;PA 8/S10/01/2019;6_BIELIZNA :  STOPKI
2019-02-01;PA 9/S10/01/2019;1_M石CZYZNA :  SPODNIE
2019-02-01;PA 9/S10/01/2019;1_M石CZYZNA :  SPODNIE
2019-02-01;PA 9/S10/01/2019;1_M石CZYZNA :  BLUZA
2019-02-01;PA 9/S10/01/2019;6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)
2019-02-01;PA 9/S10/01/2019;6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)
2019-02-01;PA 9/S10/01/2019;1_M石CZYZNA :  BUTY_ZIMA
2019-02-01;PA 1/S11/01/2019;2_KOBIETA :  T-SHIRT
2019-02-01;PA 1/S11/01/2019;6_BIELIZNA :  KIEL覹KI
2019-02-01;PA 12/S11/01/2019;6_BIELIZNA :  STOPKI
2019-02-01;PA 12/S11/01/2019;6_BIELIZNA :  STOPKI
2019-02-01;PA 12/S11/01/2019;1_M石CZYZNA :  BUTY_ZIMA
2019-02-01;PA 13/S11/01/2019;2_KOBIETA :  T-SHIRT
2019-02-01;PA 13/S11/01/2019;1_M石CZYZNA :  T-SHIRT
2019-02-01;PA 4/S11/01/2019;5_AKCESORIA :  AKCESORIA PIARSKIE
2019-02-01;PA 4/S11/01/2019;2_KOBIETA :  T-SHIRT
2019-02-01;PA 6/S11/01/2019;1_M石CZYZNA :  BLUZA
2019-02-01;PA 6/S11/01/2019;1_M石CZYZNA :  SPODNIE
2019-02-01;PA 7/S11/01/2019;5_AKCESORIA :  CZAPKA
2019-02-01;PA 7/S11/01/2019;1_M石CZYZNA :  LONG SLEEVE
2019-02-01;PA 7/S11/01/2019;1_M石CZYZNA :  LONG SLEEVE
2019-02-01;PA 8/S11/01/2019;6_BIELIZNA :  SKARPETY DGIE
2019-02-01;PA 8/S11/01/2019;6_BIELIZNA :  SKARPETY DGIE
2019-02-01;PA 9/S11/01/2019;3_CHPAK :  BUTY LIFESTYLE_TRAMPEK MID
2019-02-01;PA 9/S11/01/2019;5_AKCESORIA :  AKCESORIA ZIMOWE
2019-02-01;PA 9/S11/01/2019;5_AKCESORIA :  AKCESORIA ZIMOWE
2019-02-01;PA 2/S12/01/2019;2_KOBIETA :  T-SHIRT
2019-02-01;PA 2/S12/01/2019;1_M石CZYZNA :  T-SHIRT
2019-02-01;PA 4/S12/01/2019;1_M石CZYZNA :  BLUZA
2019-02-01;PA 4/S12/01/2019;1_M石CZYZNA :  T-SHIRT
2019-02-01;PA 6/S12/01/2019;1_M石CZYZNA :  SPODNIE
2019-02-01;PA 6/S12/01/2019;1_M石CZYZNA :  T-SHIRT
2019-02-01;PA 6/S12/01/2019;1_M石CZYZNA :  BLUZA
2019-02-01;PA 6/S12/01/2019;6_BIELIZNA :  STOPKI
2019-02-01;PA 6/S12/01/2019;6_BIELIZNA :  STOPKI
2019-02-01;PA 6/S12/01/2019;5_AKCESORIA :  AKCESORIA ZIMOWE
2019-02-01;PA 7/S12/01/2019;1_M石CZYZNA :  SPODNIE
2019-02-01;PA 7/S12/01/2019;6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)
2019-02-01;PA 7/S12/01/2019;6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)
